S.No.,Breadth(a),Breadth(b),mean width,Original Width
285,37.67666662,37.54437495,75.22104157,3.07
286,33.44333329,34.55458329,67.99791658,3.13
287,35.29541662,34.52812496,69.82354158,3.5
288,34.07833329,35.37479162,69.45312491000001,2.71
289,34.07833329,34.07833329,68.15666658,3.37
290,32.12041663,31.59124996,63.71166659,2.97
291,35.93041662,36.27437495,72.20479157,3.24
292,33.94604162,36.35374995,70.29979157,3.16
293,34.50166662,33.57562496,68.07729158000001,3.0
294,33.57562496,35.00437496,68.57999992,2.81
295,33.09937496,33.57562496,66.67499992,3.28
296,38.44395828,39.52874995,77.97270823,3.1
297,35.32187496,36.38020829,71.70208325,3.15
298,34.42229162,35.40124996,69.82354158000001,3.15
299,35.77166662,36.24791662,72.01958324,3.11
300,32.17333329,31.14145829,63.314791580000005,3.19
301,32.70249996,32.51729163,65.21979159,3.4
302,34.89854162,35.87749995,70.77604157,3.03
303,37.17395829,37.75604162,74.92999990999999,3.08
304,37.09458329,37.51791662,74.61249991,2.83
305,31.77645829,32.64958329,64.42604158,3.06
306,35.21604162,35.40124996,70.61729158,3.15
307,36.40666662,37.78249995,74.18916657,3.18
308,34.31645829,33.60208329,67.91854158000001,3.39
309,35.42770829,35.42770829,70.85541658,2.74
310,36.40666662,35.42770829,71.83437491000001,3.01
311,36.24791662,34.97791662,71.22583324,3.18
312,39.26416662,39.66104162,78.92520823999999,2.97
313,34.50166662,34.02541662,68.52708324,2.93
314,35.45416662,36.22145829,71.67562491000001,3.05
315,31.74999996,32.64958329,64.39958325,3.18
316,35.74520829,36.80354162,72.54874991,3.5
317,33.94604162,33.54916662,67.49520824000001,3.09
318,34.07833329,34.07833329,68.15666658,3.25
319,37.72958329,36.75062495,74.48020824,2.91
320,33.60208329,33.09937496,66.70145825,3.12
321,34.07833329,34.97791662,69.05624991,3.13
322,33.12583329,32.70249996,65.82833325,2.88
323,35.90395829,36.38020829,72.28416658,3.07
324,35.90395829,35.48062496,71.38458324999999,3.12
325,34.89854162,34.55458329,69.45312491,3.1
326,34.50166662,35.00437496,69.50604158,3.03
327,35.32187496,35.48062496,70.80249992,3.07
328,36.82999995,36.80354162,73.63354157,3.09
329,36.85645829,37.33270829,74.18916658,3.23
330,33.94604162,35.93041662,69.87645824,3.13
331,38.70854162,37.30624995,76.01479157,3.0
332,36.85645829,35.48062496,72.33708325,3.36
333,38.70854162,36.45958329,75.16812490999999,3.08
