S.No.,filename,Length (cm),Original Length,ratio
57,DSC04440.JPG,20.00249997,4.79,4.175887259
58,DSC04441.JPG,21.37833331,5.48,3.901155714
59,DSC04442.JPG,22.33083331,5.48,4.074969582
60,DSC04443.JPG,21.82812497,5.21,4.189659303
61,DSC04444.JPG,23.62729164,5.21,4.534988798
62,DSC04445.JPG,20.45229164,4.78,4.2787221
63,DSC04446.JPG,21.37833331,4.78,4.472454667
64,DSC04447.JPG,19.97604164,5.18,3.856378695
65,DSC04448.JPG,19.10291664,5.18,3.687821745
66,DSC04449.JPG,20.45229164,4.69,4.360829774
67,DSC04450.JPG,21.37833331,4.69,4.558280023
68,DSC04451.JPG,22.70124997,5.21,4.357245676
69,DSC04452.JPG,21.77520831,5.21,4.179502555
70,DSC04453.JPG,23.57437497,5.31,4.439618638
71,DSC04454.JPG,22.67479164,5.31,4.270205582
72,DSC04455.JPG,19.87020831,4.68,4.245771006
73,DSC04456.JPG,20.92854164,4.68,4.471910607
74,DSC04457.JPG,21.35187497,5.02,4.253361548
75,DSC04458.JPG,22.38374997,5.02,4.458914337
76,DSC04459.JPG,24.52687497,5.11,4.799779838
77,DSC04460.JPG,22.17208331,5.11,4.338959552
78,DSC04461.JPG,21.35187497,5.02,4.253361548
79,DSC04462.JPG,22.7277083,5.02,4.527431932
80,DSC04463.JPG,20.02895831,5.1,3.927246727
81,DSC04464.JPG,21.37833331,5.1,4.191830061
82,DSC04465.JPG,21.85458331,5.11,4.276826479
83,DSC04466.JPG,22.59541664,5.11,4.421803648
84,DSC04467.JPG,22.03979164,5.38,4.096615546
85,DSC04468.JPG,22.25145831,5.38,4.135958794
86,DSC04469.JPG,20.31999997,5.2,3.907692302
87,DSC04470.JPG,21.35187497,5.2,4.106129802
88,DSC04471.JPG,21.35187497,4.71,4.533306788
89,DSC04472.JPG,20.90208331,4.71,4.43780962
90,DSC04473.JPG,22.48958331,5.3,4.243317606
91,DSC04474.JPG,24.5533333,5.3,4.632704396
92,DSC04475.JPG,19.10291664,4.71,4.055820943
93,DSC04476.JPG,19.55270831,4.71,4.151318113
94,DSC04477.JPG,20.82270831,5.43,3.834752912
95,DSC04478.JPG,22.7277083,5.43,4.185581639
96,DSC04479.JPG,21.35187497,4.9,4.357525504
97,DSC04480.JPG,20.82270831,4.9,4.249532308
98,DSC04481.JPG,23.17749997,5.5,4.214090904
99,DSC04482.JPG,21.96041664,5.5,3.992803025
100,DSC04483.JPG,20.90208331,5.21,4.011916182
101,DSC04484.JPG,20.92854164,5.21,4.016994557
102,DSC04485.JPG,23.2039583,5.61,4.13617795
103,DSC04486.JPG,23.17749997,5.61,4.13146167
104,DSC04487.JPG,21.35187497,5.24,4.0747853
105,DSC04488.JPG,21.37833331,5.24,4.079834601
106,DSC04490.JPG,20.90208331,5,4.180416662
107,DSC04491.JPG,20.92854164,5,4.185708328
108,DSC04492.JPG,21.14020831,5.38,3.929406749
109,DSC04493.JPG,21.82812497,5.38,4.057272299
110,DSC04494.JPG,20.34645831,4.8,4.238845481
111,DSC04495.JPG,20.90208331,4.8,4.35460069
112,DSC04496.JPG,23.17749997,5.29,4.381379957
113,DSC04497.JPG,22.27791664,5.29,4.211326397
114,DSC04498.JPG,22.62187497,5.15,4.392597082
115,DSC04499.JPG,21.82812497,5.15,4.238470868
116,DSC04500.JPG,21.35187497,4.75,4.495131573
117,DSC04501.JPG,21.82812497,4.75,4.595394731
118,DSC04502.JPG,20.66395831,4.84,4.269412874
119,DSC04503.JPG,20.63749997,4.84,4.263946275
120,DSC04504.JPG,22.70124997,5.44,4.173023892
121,DSC04505.JPG,22.7277083,5.44,4.177887555
122,DSC04506.JPG,20.95499997,5.19,4.037572249
123,DSC04507.JPG,21.80166664,5.19,4.200706482
124,DSC04508.JPG,22.70124997,4.99,4.549348691
125,DSC04509.JPG,21.80166664,4.99,4.369071471
126,DSC04510.JPG,21.82812497,5.02,4.348232066
127,DSC04511.JPG,21.82812497,5.02,4.348232066
128,DSC04512.JPG,20.92854164,5.39,3.882846315
129,DSC04513.JPG,21.82812497,5.39,4.049744892
130,DSC04514.JPG,24.9502083,5.49,4.544664536
131,DSC04515.JPG,24.10354164,5.49,4.390444743
132,DSC04516.JPG,23.17749997,5.11,4.53571428
133,DSC04517.JPG,22.27791664,5.11,4.359670575
134,DSC04518.JPG,20.00249997,4.82,4.149896259
135,DSC04519.JPG,19.52624998,4.82,4.051089207
136,DSC04520.JPG,24.05062497,5.41,4.445586871
137,DSC04521.JPG,23.38916664,5.41,4.323321006
138,DSC04522.JPG,19.65854164,5.18,3.795085259
139,DSC04523.JPG,20.82270831,5.18,4.019827859
140,DSC04524.JPG,20.45229164,5,4.090458328
141,DSC04525.JPG,20.47874997,5,4.095749994
142,DSC04526.JPG,22.7277083,5.6,4.058519339
143,DSC04527.JPG,22.62187497,5.6,4.03962053
144,DSC04528.JPG,20.82270831,5.21,3.996681058
145,DSC04529.JPG,20.90208331,5.21,4.011916182
146,DSC04530.JPG,22.03979164,5.31,4.150619895
147,DSC04531.JPG,22.7277083,5.31,4.280171055
148,DSC04533.JPG,21.82812497,4.81,4.538071719
149,DSC04534.JPG,21.24604164,4.81,4.417056474
150,DSC04535.JPG,21.80166664,4.85,4.495188998
151,DSC04536.JPG,22.27791664,4.85,4.593384874
152,DSC04537.JPG,23.62729164,5.31,4.449584113
153,DSC04538.JPG,24.52687497,5.31,4.618997169
154,DSC04539.JPG,20.00249997,5.7,3.509210521
155,DSC04540.JPG,20.00249997,5.7,3.509210521
156,DSC04541.JPG,19.07645831,5.1,3.740482022
157,DSC04542.JPG,19.12937498,5.1,3.750857839
