S.No.,Cocoon Weight (gm),Cocoon length(cm),mean width(cm),Cross sectional Area (cm2),Cocoon Volume (cm3),Shell Weight (gm),Category
418,11.18,5.13,3.05,22.95,27.9,1.61,Daba RC I
419,12.92,5.22,3.18,24.49,30.7,1.61,Daba RC I
420,1712,5.6,3.5,29.16,41.2,2.4,Daba RC Super
421,10.89,4.94,3.09,22.71,27.1,1.82,Daba RC I
422,10.83,4.99,3.25,24.51,30,2.14,Daba RC I
423,8.67,4.6,2.91,19.99,23.3,1.48,Daba RC II
424,12.38,5.3,3.12,24.13,32,1.69,Daba RC I
425,9.39,5.05,3.13,23.5,26,1.21,Daba RC III
426,10.55,4.92,2.88,20.68,25.8,1.71,Daba RC I
427,11.25,5.31,3.07,23.65,30.7,1.76,Daba RC I
428,8.22,4.78,3.12,22.51,29.5,1.6,Daba RC I
429,10.83,5.12,3.1,23.37,31.3,1.58,Daba RC I
430,8.84,4.71,3.03,21.43,26.8,1.3,Daba RC II
431,11.1,5.2,3.07,23.36,30.7,1.35,Daba RC II
432,10.53,5.15,3.09,23.36,32.5,1.55,Daba RC I
433,10.58,5.05,3.23,24.45,27,1.4,Daba RC II
434,12.71,5.15,3.13,23.76,31.3,1.76,Daba RC I
435,12.08,5,3,22.07,29.9,1.81,Daba RC I
436,12.16,5.4,3.36,27.01,32.5,1.85,Daba RC I
437,9.95,5.18,3.08,23.35,26.7,0.99,Daba RC III
438,11.98,5.22,3.2,24.74,30.9,1.55,Daba RC I
439,12.68,5.39,3.26,25.86,37.5,1.75,Daba RC I
440,11.53,5.25,2.96,22.42,29.6,1.51,Daba RC II
441,10.59,5.3,3.1,23.97,30.9,1.46,Daba RC II
